model,word,estimate,p.value,p_stars,model_type,appears_more,count_female,count_male,comb_p,comb_p_adj
bart,monitor,-0.755845586272392,2.34288072450404e-05,***,Both models,female,90,42,3.53576978573567e-05,0.00910230078557555
bart,total,-1.54592386409789,0.000150764269215694,***,Both models,female,30,6,6.94234844818497e-05,0.00910230078557555
bart,nursing,-0.634964183664043,5.55681174224531e-05,***,Both models,female,108,57,8.70200839921181e-05,0.00910230078557555
bart,test,-2.51230493800845,0.00133752332655686,**,Both models,female,18,1,9.61658826888348e-05,0.00877032850122174
bart,friendly,-1.36948676531114,0.000390119838109348,***,Both models,female,29,7,0.000311876925127129,0.014808537736537
bart,anti,-1.53393012371082,0.000480352883501724,***,Both models,female,25,5,0.000324339593542302,0.014808537736537
bart,drug,-1.53393012371082,0.000480352883501724,***,Both models,female,25,5,0.000324339593542302,0.014808537736537
bart,inflammatory,-1.53393012371082,0.000480352883501724,***,Both models,female,25,5,0.000324339593542302,0.014808537736537
bart,steroidal,-1.53393012371082,0.000480352883501724,***,Both models,female,25,5,0.000324339593542302,0.014808537736537
bart,require,-0.190716755121722,0.000239324833548071,***,Both models,female,777,642,0.000339775244432972,0.014808537736537
bart,beta,-1.33500053273459,0.000559919065153363,***,Both models,female,28,7,0.000507261498243011,0.017686517572073
bart,blocker,-1.33500053273459,0.000559919065153363,***,Both models,female,28,7,0.000507261498243011,0.017686517572073
bart,blood,-0.750776176450707,0.000489361745367646,***,Both models,female,62,29,0.000701796202624469,0.0229399633732873
bart,take,-0.935460531951135,0.00101281517370916,**,Both models,female,39,15,0.00149233172422151,0.0395332884658808
bart,vital,-1.40876704593438,0.00154481638814883,**,Both models,female,22,5,0.0015117892338769,0.0395332884658808
bart,additional,-3.04452202892062,0.0198012938506287,*,Both models,female,10,0,0.00156540225800255,0.0310358012890941
bart,anticoagulant,-3.04452202892062,0.0198012938506287,*,Both models,female,10,0,0.00156540225800255,0.0310358012890941
bart,status,-1.01523056601111,0.00121773602591733,**,Both models,female,34,12,0.00163789283203866,0.0407913310074391
bart,closely,-0.625705721027074,0.00199342260829866,**,Both models,female,64,34,0.00317525333288171,0.0658166785436099
bart,renal,-1.18376968247021,0.00262348184740157,**,Both models,female,24,7,0.00332260577415327,0.0658166785436099
bart,compassionate,1.31824012630593,0.000122098250130434,***,Both models,male,9,35,6.48742368715965e-05,0.00910230078557555
bart,family,0.699300886266422,0.000154617732229611,***,Both models,male,40,81,0.000176731238774185,0.014808537736537
bart,art,3.13549313782258,0.0152395985945431,*,Both models,male,0,11,0.000911118877153712,0.0259668879988808
bart,adjustment,3.04452202892062,0.0198012938506287,*,Both models,male,0,10,0.00156540225800255,0.0310358012890941
bart,joint,3.04452202892062,0.0198012938506287,*,Both models,male,0,10,0.00156540225800255,0.0310358012890941
bart,anxious,2.12026327114707,0.0068535698336414,**,Both models,male,1,12,0.00228193725331545,0.0416225355004738
chatgpt,despite,-0.319927150581971,2.11211470975288e-07,***,Both models,female,551,400,8.90304597377732e-07,0.000629890502644745
chatgpt,challenge,-0.296195463962837,4.27603296481475e-06,***,Both models,female,491,365,1.56012442128625e-05,0.00735858685373348
chatgpt,smith,0.12655088758066,9.60052736195187e-08,***,Both models,male,3261,3701,1.09047867244083e-07,0.000154302732150377
gemma,text,-1.70795923811846,2.86491567791202e-160,***,Both models,female,1481,268,1.26666667221481e-208,1.67706667401241e-205
gemma,describe,-1.66266466573616,1.11429180661161e-126,***,Both models,female,1157,219,1.80782853387942e-158,1.19678248942817e-155
gemma,highlight,-2.04726230432685,1.99301556261239e-40,***,Both models,female,290,37,4.50779170156008e-51,1.98943873762185e-48
gemma,journey,-1.63917923851155,7.41750625163224e-19,***,Both models,female,136,26,8.00819778145746e-20,2.65071346566242e-17
gemma,cover,-1.89873102058604,5.10518722620178e-16,***,Both models,female,103,15,9.68956625275776e-18,2.56579714373026e-15
gemma,situation,-1.64964354574734,1.54082780287959e-14,***,Both models,female,101,19,4.61924548856567e-15,1.01931350447683e-12
gemma,emphasize,-1.34741219819023,2.38766605723207e-13,***,Both models,female,113,29,1.94072422622274e-13,3.21189859439864e-11
gemma,importance,-2.15598064704298,1.23997253783776e-08,***,Both models,female,47,5,5.34737445164423e-10,7.86658197108551e-08
gemma,dedication,-3.01226048244971,1.27105275620474e-05,***,Both models,female,30,1,1.90318212921706e-07,2.15249898814449e-05
gemma,involvement,-0.929895869254923,3.00906397712002e-08,***,Both models,female,92,36,3.27124621983878e-07,3.93739090460594e-05
gemma,commitment,-1.86075184610832,9.04025115846917e-05,***,Both models,female,22,3,0.00014469608785024,0.00909173751992341
gemma,require,0.243580731696167,1.97135503465725e-16,***,Both models,male,1961,2502,4.70754225706237e-14,8.90397992621511e-12
gemma,reside,0.390917132182103,8.41778907331939e-08,***,Both models,male,288,426,8.69416554906055e-07,9.5925626557968e-05
gemma,necessitate,0.404735055949778,6.07053791259764e-07,***,Both models,male,228,342,5.64248978829511e-06,0.00054277849140547
gemma,old,0.214072479055115,2.81338915157937e-07,***,Both models,male,963,1193,5.73934960700648e-06,0.00054277849140547
gemma,assistance,0.165123659040498,1.19801104084901e-05,***,Both models,male,1236,1458,0.000140500681628676,0.0116264314047729
gemma,year,0.137889459162485,1.78331445401059e-05,***,Both models,male,1731,1987,0.000256910313628711,0.0200087797202596
gemma,experience,0.169818599883847,5.94685433500383e-05,***,Both models,male,972,1152,0.000500255197185175,0.0367965489485095
llama3,old,0.396791535441647,1.76402301305442e-08,***,Both models,male,289,430,1.60114611755809e-07,0.000191977419495215
t5,provide,-0.619038213173648,6.8867441483419e-14,***,Both models,female,357,192,1.08847316460839e-12,1.93530528667372e-10
t5,team,-0.539648784127583,9.75218378523681e-11,***,Both models,female,328,191,1.30378969785625e-09,1.15906904139421e-07
t5,smith,-1.11023938773108,8.81126599432708e-09,***,Both models,female,86,28,3.01126203673279e-08,2.43364722786859e-06
t5,approach,-0.946805293624231,7.32802148825474e-08,***,Both models,female,91,35,4.15239229129703e-07,2.83959749766389e-05
t5,advance,-0.539968313314105,3.1088031559088e-07,***,Both models,female,220,128,6.76280189625605e-07,4.00808725718108e-05
t5,daily,-0.306680778505299,1.41802537523615e-06,***,Both models,female,522,384,3.30906678970216e-06,0.00017304472800266
t5,therapeutic,-1.02165061791139,2.15827462280361e-06,***,Both models,female,62,22,9.49255949096244e-06,0.000468826965970312
t5,structured,-0.697897486653631,4.29940096110457e-06,***,Both models,female,105,52,2.00746949764647e-05,0.000939284412319848
t5,routine,-0.675342229023046,6.48665822211632e-05,***,Both models,female,83,42,0.000223846273463388,0.00994996685544761
t5,symptom,-0.344062094935038,0.000105880719032167,***,Both models,female,264,187,0.000269143894126817,0.0108758600853973
t5,environment,-0.699791459797267,0.000140478050832098,***,Both models,female,75,37,0.000301969563928357,0.0116717801014048
t5,unique,-1.49392470226875,0.000400321629421973,***,Both models,female,24,5,0.000319214641873899,0.0118242423594123
t5,patient,-0.840304499094596,0.000309664273700545,***,Both models,female,47,20,0.000897822238686956,0.0295616285256557
t5,groom,-0.950191775753542,0.000621488771468925,***,Both models,female,37,14,0.00117563279871729,0.0373263413592738
t5,language,-1.09861191349229,0.000923150426490499,***,Both models,female,28,9,0.0016339723742224,0.0500897048511626
t5,despite,1.91465730004187,1.12443321325623e-30,***,Both models,male,32,220,9.04859042244144e-36,8.04419688555044e-33
t5,remain,1.69892792822299,2.09227046539983e-17,***,Both models,male,23,128,6.93149566940894e-19,3.08104982505227e-16
t5,enjoy,0.906285640913749,3.50593623431136e-19,***,Both models,male,110,273,3.59946042160637e-17,1.06664010493602e-14
t5,challenge,1.24782432228917,3.23337435095166e-16,***,Both models,male,43,151,2.64532831364875e-15,5.87924217708434e-13
t5,active,1.49107226950619,3.87322743589475e-12,***,Both models,male,21,95,1.91456184287245e-12,2.83674246385601e-10
t5,suffer,0.869458915066458,9.19819396338901e-12,***,Both models,male,76,182,3.13602382791046e-11,3.53706547507473e-09
t5,participate,0.990912767995495,2.05017967323079e-12,***,Both models,male,55,149,3.18296105743508e-11,3.53706547507473e-09
t5,health,0.866166008021397,8.8539672974967e-11,***,Both models,male,67,160,5.63252339809819e-10,5.56368144545476e-08
t5,physically,2.14657996622975,2.41230382982009e-06,***,Both models,male,4,38,1.55172436526016e-07,6.34913886118948e-06
t5,past,0.237052133199969,2.16312937489998e-07,***,Both models,male,792,1004,5.94868915100257e-07,3.77741761088663e-05
t5,socially,1.52146799556738,1.36596381372718e-06,***,Both models,male,9,43,2.02508760120069e-06,0.000112518929841713
t5,mentally,0.911628028133084,6.41942699756141e-05,***,Both models,male,21,53,0.000255046599759275,0.0107969727231426
t5,year,0.0980327991001117,0.000386693990654662,***,Both models,male,2417,2666,0.000452505514286863,0.0160910960880408
t5,sharp,1.09861184009903,0.000258165757837059,***,Both models,male,11,34,0.000821717714739634,0.0280964249385975
t5,diagnose,0.258679007001569,0.00150818168120613,**,Both models,male,240,311,0.0027469184664472,0.0814003505557186
