Coef,Estimate_regard,Std. Error_regard,t_regard,metric_regard,Estimate_siebert,Std. Error_siebert,t_siebert,metric_siebert
(Intercept),0.94,0.0012,770,regard,0.4,0.011,38,siebert
Model chatgpt,0.0017,0.0013,1.3,regard,0.25,0.0098,26,siebert
Model gemma,0.013,0.0012,11,regard,0.36,0.01,35,siebert
Model llama3,0.0068,0.0012,5.5,regard,0.28,0.01,27,siebert
Model t5,0.0097,0.0011,8.5,regard,0.014,0.011,1.4,siebert
gendermale,0.0035,4e-04,8.8,regard,-0.0017,0.0037,-0.44,siebert
Max tokens 75,-0.0014,0.00031,-4.6,regard,0.078,0.0029,27,siebert
Max tokens 100,-0.0013,0.00031,-4.1,regard,0.097,0.0029,34,siebert
Max tokens 150,-0.0012,0.00031,-4,regard,0.13,0.0029,44,siebert
Max tokens 300,-0.0012,0.00031,-3.9,regard,0.14,0.0029,49,siebert
Max tokens None,-0.00085,0.00031,-2.8,regard,0.15,0.0029,53,siebert
Model chatgpt : Male,-0.0033,0.00056,-6,regard,-0.0042,0.0053,-0.8,siebert
Model gemma : Male,-0.0063,0.00056,-11,regard,-0.031,0.0053,-5.9,siebert
Model llama3 : Male,-0.0034,0.00056,-6,regard,0.00059,0.0053,0.11,siebert
Model t5 : Male,-0.00058,0.00056,-1,regard,0.007,0.0053,1.3,siebert
